"term","category","weight"
"that's","NEG_E","0.0564871484"
"sleep","NEG_E","0.2207590595"
"go","NEG_E","0.0424997412"
"follow","NEG_E","-0.0433676053"
"certainly","NEG_E","0.0586723571"
"to","NEG_E","0.0272339523"
"sorry","NEG_E","0.0411426983"
"worse","NEG_E","0.026504322"
"sitting","NEG_E","0.0623165454"
"far","NEG_E","0.0322289601"
"shit","NEG_E","0.0319206279"
"go","NEG_E","0.0524413911"
"entire","NEG_E","0.0581806718"
"school","NEG_E","0.0488597109"
"me","NEG_E","0.1248726372"
"laying","NEG_E","-0.0141893615"
"it","NEG_E","0.0367011752"
"clothes","NEG_E","0.0322559677"
"work","NEG_E","0.0960767155"
"tired","NEG_E","0.3850380054"
"sigh","NEG_E","0.0988496416"
"darkness","NEG_E","0.0482651413"
"hate","NEG_E","0.1256905466"
"waiting","NEG_E","0.0997379212"
"goes","NEG_E","0.0834848332"
"it","NEG_E","0.0375285665"
"friend","NEG_E","0.0538221306"
"loose","NEG_E","0.039465835"
"hours","NEG_E","0.1253073626"
"alone","NEG_E","0.1870752827"
"thing","NEG_E","0.0317156163"
"great","NEG_E","-0.1291696115"
"k","NEG_E","0.0752358293"
"life","NEG_E","0.0768409371"
"love","NEG_E","-0.1092015275"
"crap","NEG_E","0.0582785782"
"prove","NEG_E","0.018972025"
"someone","NEG_E","0.0489961106"
"texting","NEG_E","0.0349530551"
"tell","NEG_E","0.0188513766"
"today","NEG_E","0.0257651434"
"w","NEG_E","0.04072806"
"sore","NEG_E","0.049190426"
"baby","NEG_E","-0.1373537672"
"hurry","NEG_E","0.0578309561"
"glad","NEG_E","0.0701323669"
"me","NEG_E","0.0223237614"
"hour","NEG_E","0.0716886469"
"f","NEG_E","0.0812208689"
"well","NEG_E","0.0392896189"
"pretend","NEG_E","0.0635704081"
"sucks","NEG_E","0.0712710937"
"my","NEG_E","-0.032618427"
"awesome","NEG_E","-0.0730954145"
"fuck","NEG_E","0.2286539586"
"want","NEG_E","-0.0161984552"
"lame","NEG_E","0.0529128278"
"song","NEG_E","-0.1222988667"
"d","NEG_E","-0.1053743423"
"amazing","NEG_E","-0.0662302255"
"instead","NEG_E","0.0752393729"
"staying","NEG_E","0.0474160614"
"birthday","NEG_E","-0.0487404085"
"lay","NEG_E","0.0286700332"
"so","NEG_E","0.0467158029"
"out","NEG_E","0.0626341223"
"putting","NEG_E","0.046807215"
"wind","NEG_E","0.0207295386"
"he","NEG_E","0.0351672229"
"office","NEG_E","0.0518016798"
"attitude","NEG_E","0.0636992725"
"hell","NEG_E","0.1378806947"
"its","NEG_E","0.0208229129"
"write","NEG_E","0.0543104014"
"how","NEG_E","0.029852918"
"someone","NEG_E","0.093471077"
"somebody","NEG_E","0.0592205973"
"dam","NEG_E","0.0282969859"
"not","NEG_E","0.0813018613"
"now","NEG_E","0.0155548339"
"bullshit","NEG_E","0.0610932555"
"so","NEG_E","0.0618271966"
"bless","NEG_E","-0.0879868388"
"off","NEG_E","0.0395967743"
"mental","NEG_E","0.0529135987"
"annoying","NEG_E","0.0458364476"
"pills","NEG_E","0.0265451442"
"really","NEG_E","0.0382143382"
"rt","NEG_E","-0.0129480015"
"free","NEG_E","-0.06920839"
"reason","NEG_E","0.0422048136"
"imagine","NEG_E","0.0443319735"
"now","NEG_E","0.0528947027"
"care","NEG_E","0.031139147"
"days","NEG_E","0.0433133397"
"think","NEG_E","-0.0212433006"
"feel","NEG_E","0.1010527398"
"done","NEG_E","0.0921978864"
"another","NEG_E","0.0245987153"
"done","NEG_E","0.0627731616"
"doesn't","NEG_E","0.1040270143"
"guess","NEG_E","0.0308494862"
"eyes","NEG_E","0.0395338713"
"stomach","NEG_E","0.031668229"
"nobody","NEG_E","0.0544941905"
"wasted","NEG_E","0.0522615188"
"nun","NEG_E","0.0535286717"
"boring","NEG_E","0.4389089441"
"bed","NEG_E","0.1904381026"
"supposed","NEG_E","0.0423404149"
"asleep","NEG_E","0.054678587"
"feeling","NEG_E","0.0675330258"
"and","NEG_E","-0.0371215157"
"sees","NEG_E","0.0379768209"
"mind","NEG_E","0.085566249"
"i","NEG_E","-0.0593876054"
"need","NEG_E","0.0910775922"
"lie","NEG_E","0.02993854"
"take","NEG_E","-0.0188997201"
"world","NEG_E","0.0663378292"
"normal","NEG_E","0.0508741623"
"its","NEG_E","0.0372013785"
"class","NEG_E","0.0692033274"
"i","NEG_E","0.0121177499"
"shit","NEG_E","0.0665616054"
"shit","NEG_E","0.0401644908"
"myself","NEG_E","0.0587049878"
"ugh","NEG_E","0.2301137459"
"work","NEG_E","0.028821639"
"text","NEG_E","0.0860369499"
"at","NEG_E","0.0401377035"
"anyway","NEG_E","0.0433702185"
"slow","NEG_E","0.0544724402"
"time","NEG_E","0.0560833699"
"loved","NEG_E","0.0512743652"
"do","NEG_E","0.0411960133"
"today","NEG_E","0.0269198238"
"cry","NEG_E","0.0698194471"
"morning","NEG_E","0.0154737889"
"bad","NEG_E","-0.0228538351"
"do","NEG_E","0.03033187"
"decided","NEG_E","0.0645875575"
"dumb","NEG_E","0.050690559"
"best","NEG_E","-0.1067099559"
"away","NEG_E","0.0434434368"
"birds","NEG_E","0.0463308285"
"there's","NEG_E","0.0322790019"
"horrible","NEG_E","0.056566603"
"rite","NEG_E","0.0454680997"
"piss","NEG_E","0.0364113218"
"lazy","NEG_E","0.1047857078"
"missing","NEG_E","0.0382831746"
"joke","NEG_E","0.0758595214"
"s","NEG_E","-0.0914074693"
"forgotten","NEG_E","0.0332345592"
"passing","NEG_E","0.0336461736"
"can't","NEG_E","0.0242549889"
"drunk","NEG_E","0.0503182406"
"f","NEG_E","0.0424659256"
"relaxing","NEG_E","0.0416149287"
"alone","NEG_E","0.0640018912"
"else","NEG_E","0.0193414811"
"myself","NEG_E","0.1224084169"
"ugly","NEG_E","0.0430620145"
"down","NEG_E","0.0293271324"
"sleeping","NEG_E","0.0716641716"
"sleep","NEG_E","0.0517949123"
"cant","NEG_E","0.020318939"
"week","NEG_E","0.0822444355"
"moment","NEG_E","0.0760430273"
"fucked","NEG_E","0.0616503268"
"off","NEG_E","0.0148337556"
"bored","NEG_E","0.1425522864"
"i","NEG_E","0.0994026263"
"well","NEG_E","-0.0132261723"
"up","NEG_E","0.064588395"
"and","NEG_E","0.0727846525"
"myself","NEG_E","0.0516500623"
"just","NEG_E","0.0866327674"
"being","NEG_E","0.0748432498"
"photo","NEG_E","-0.0131991765"
"sleepy","NEG_E","0.128699495"
"thanks","NEG_E","-0.1000841402"
"blow","NEG_E","0.0829148498"
"what","NEG_E","0.0435167001"
"point","NEG_E","0.0558792405"
"seems","NEG_E","0.0183032866"
"day","NEG_E","0.0417696537"
"crying","NEG_E","0.039939581"
"cum","NEG_E","0.0210809615"
"homework","NEG_E","0.0469054765"
"early","NEG_E","0.0863577686"
"like","NEG_E","0.021545692"
"loser","NEG_E","0.0446825417"
"nerves","NEG_E","0.0480002165"
"right","NEG_E","-0.0306250109"
"people","NEG_E","-0.0162501105"
"fucking","NEG_E","0.1708090349"
"this","NEG_E","0.0547011497"
"home","NEG_E","0.0645947398"
"you","NEG_E","0.0560680595"
"mood","NEG_E","0.1560945677"
"nails","NEG_E","0.039644404"
"broken","NEG_E","0.0484451644"
"oh","NEG_E","0.0644035988"
"of","NEG_E","-0.0334056043"
"swear","NEG_E","0.0298097835"
"wanna","NEG_E","0.1073432667"
"ugh","NEG_E","0.0294100598"
"down","NEG_E","0.0126976492"
"nothing","NEG_E","0.0984845671"
"do","NEG_E","0.0365111409"
"long","NEG_E","0.0288665121"
"why","NEG_E","0.0150479957"
"lonely","NEG_E","0.051203464"
"wat","NEG_E","0.0921442103"
"happy","NEG_E","-0.1522958765"
"but","NEG_E","-0.06449171"
"jus","NEG_E","0.092100269"
"inside","NEG_E","0.0123362986"
"up","NEG_E","0.0214805489"
"delete","NEG_E","0.0403629847"
"sometimes","NEG_E","0.0499447327"
"exhausted","NEG_E","0.1257814146"
"am","NEG_E","-0.0381595381"
"annoying","NEG_E","0.0768258817"
"check","NEG_E","-0.0524155627"
"shit","NEG_E","0.1177496393"
"so","NEG_E","0.0403446025"
"no","NEG_E","0.0594342204"
"bored","NEG_E","0.8401683729"
"when","NEG_E","-0.0328090272"
"reality","NEG_E","0.0421281036"
"nap","NEG_E","0.080713361"
"bed","NEG_E","-0.0103793245"
"sick","NEG_E","0.1442439113"
"you","NEG_E","-0.0779333396"
"poor","NEG_E","0.0464951591"
"kinda","NEG_E","0.0471496076"
"hurt","NEG_E","0.0260852727"
"longer","NEG_E","0.0101282494"
"dey","NEG_E","0.0454635244"
"time","NEG_E","-0.0190149818"
"push","NEG_E","0.0589392467"
"baby","NEG_A","0.0328631386"
"sleep","NEG_A","0.0461070363"
"follow","NEG_A","-0.0647256504"
"hate","NEG_A","0.0891290183"
"certainly","NEG_A","0.0770103317"
"time","NEG_A","0.021057524"
"only","NEG_A","0.0490616966"
"under","NEG_A","0.0367513486"
"sorry","NEG_A","0.0284923007"
"but","NEG_A","0.025752682"
"time","NEG_A","0.060887521"
"worse","NEG_A","0.0392074112"
"sitting","NEG_A","0.0441209193"
"d","NEG_A","-0.0927429003"
"screaming","NEG_A","0.0465871157"
"school","NEG_A","0.0677682218"
"me","NEG_A","0.0743739375"
"this","NEG_A","0.0724896889"
"laying","NEG_A","0.0125032624"
"talked","NEG_A","-0.0209657615"
"ten","NEG_A","0.0226974384"
"tired","NEG_A","0.2165665713"
"sigh","NEG_A","0.0650279525"
"past","NEG_A","-0.0331328312"
"everything","NEG_A","0.062598701"
"even","NEG_A","-0.0162866113"
"what","NEG_A","-0.0152996907"
"decisions","NEG_A","0.0226331884"
"it","NEG_A","0.0424459627"
"new","NEG_A","-0.0800711324"
"never","NEG_A","0.0175865524"
"french","NEG_A","0.0447413704"
"hours","NEG_A","0.0311168091"
"packing","NEG_A","0.0213043603"
"alone","NEG_A","0.1401744554"
"to","NEG_A","0.0300370648"
"great","NEG_A","-0.1329576407"
"my","NEG_A","-0.0383612836"
"alone","NEG_A","0.0434401857"
"life","NEG_A","0.0362336335"
"changes","NEG_A","0.0472769269"
"via","NEG_A","0.0106369439"
"love","NEG_A","-0.1425111774"
"me","NEG_A","0.0331110187"
"feelings","NEG_A","0.0305381813"
"brought","NEG_A","0.0337754179"
"total","NEG_A","0.0634697076"
"would","NEG_A","-0.0467194034"
"prove","NEG_A","0.0456715183"
"angry","NEG_A","0.0711999217"
"negative","NEG_A","0.0276928982"
"today","NEG_A","0.0239752703"
"sort","NEG_A","0.0475526781"
"confused","NEG_A","0.0426882112"
"sore","NEG_A","0.0388686593"
"broke","NEG_A","0.0696768968"
"me","NEG_A","0.0697681551"
"anything","NEG_A","0.0258517243"
"hour","NEG_A","0.0953747058"
"this","NEG_A","0.0660966359"
"pretend","NEG_A","0.0405907064"
"sucks","NEG_A","0.1699924367"
"hardest","NEG_A","0.0265702951"
"can","NEG_A","-0.0239447446"
"control","NEG_A","0.0441486673"
"give","NEG_A","-0.0159746984"
"didn't","NEG_A","0.0534506603"
"fuck","NEG_A","0.2441249787"
"days","NEG_A","0.016910379"
"something","NEG_A","0.0162463853"
"want","NEG_A","-0.0447770381"
"end","NEG_A","0.0339956244"
"sit","NEG_A","0.017550877"
"struggles","NEG_A","0.0322310452"
"stayed","NEG_A","0.0421980905"
"how","NEG_A","-0.0127640385"
"answer","NEG_A","0.0186717712"
"staying","NEG_A","0.0478772477"
"tried","NEG_A","0.0478706646"
"earlier","NEG_A","0.0414616661"
"wrong","NEG_A","0.0309830137"
"birthday","NEG_A","-0.0658205816"
