emotion_id,nrc_term,perma_term,perma_category,perma_score
2,gut,opening,POS_E,"0.0648984281
"
5,guide,teaching,POS_R,"0.033363138
"
5,guide,teaching,POS_P,"0.0864012175
"
5,guide,teaching,POS_M,"0.0296327648
"
5,guide,teaching,POS_A,"0.0488260794
"
5,guide,teaching,POS_E,"0.0273114862
"
8,mouth,mouth,NEG_A,"0.08259946
"
8,mouth,mouth,NEG_M,"0.036643891
"
8,mouth,mouth,NEG_P,"0.0507102018
"
8,mouth,beginning,POS_M,"0.0493645984
"
10,associate,friend,POS_R,"0.0522869049
"
10,associate,friend,POS_M,"-0.1307469298
"
11,link,link,POS_E,"0.1036216904
"
13,carve,cut,NEG_P,"-0.0146443347
"
13,carve,cut,POS_M,"0.0275844172
"
18,withdrawal,taking,POS_M,"0.0231136573
"
18,withdrawal,taking,POS_A,"0.0845991566
"
21,ascent,rise,NEG_R,"0.0618033286
"
21,ascent,rise,POS_M,"0.0499712198
"
24,agent,man,POS_R,"0.0406244652
"
24,agent,man,NEG_P,"0.0375623198
"
24,agent,man,POS_M,"0.0277554291
"
24,agent,man,POS_A,"0.0334735324
"
27,swing,rock,POS_P,"0.116046307
"
27,swing,rock,NEG_P,"-0.0973473486
"
27,swing,rock,POS_E,"0.1179543457
"
30,rest,rest,POS_R,"-0.0234756593
"
30,rest,stand,NEG_R,"0.1421183116
"
30,rest,rest,NEG_P,"0.0309417649
"
30,rest,stand,NEG_P,"0.0518454571
"
30,rest,stand,POS_M,"0.0276767485
"
30,rest,rest,POS_E,"0.0496244182
"
30,rest,stand,POS_E,"0.0682864532
"
33,pull,pull,NEG_R,"0.0132130161
"
33,pull,row,POS_A,"0.0171858197
"
33,pull,row,POS_E,"0.0240593538
"
34,tap,opening,POS_E,"0.0648984281
"
35,union,party,POS_R,"0.1298090188
"
35,union,party,POS_P,"0.2216741979
"
35,union,party,NEG_P,"-0.1347533623
"
35,union,party,POS_E,"0.2206936654
"
39,sap,shake,POS_A,"0.0226763177
"
40,join,join,POS_E,"0.0807073263
"
41,function,working,POS_A,"0.140304657
"
41,function,working,POS_E,"0.1041849314
"
49,whisper,mouth,NEG_A,"0.08259946
"
49,whisper,mouth,NEG_M,"0.036643891
"
49,whisper,mouth,NEG_P,"0.0507102018
"
52,watch,care,NEG_E,"0.031139147
"
52,watch,care,POS_R,"0.0891586536
"
52,watch,care,NEG_M,"0.0600766598
"
52,watch,care,NEG_R,"0.0416467804
"
52,watch,care,NEG_P,"0.0192813438
"
52,watch,care,POS_M,"0.1113318518
"
52,watch,watch,POS_E,"0.0927742699
"
56,sweet,sweet,POS_R,"0.1098064604
"
56,sweet,sweet,POS_P,"0.2728417717
"
56,sweet,sweet,NEG_P,"-0.124693631
"
56,sweet,clear,POS_M,"-0.0111612666
"
56,sweet,sweet,POS_M,"0.0276365117
"
60,grant,pass,POS_M,"0.0508862912
"
61,shake,shake,POS_A,"0.0226763177
"
62,parallel,like,NEG_E,"0.021545692
"
62,parallel,like,NEG_M,"0.0376909787
"
62,parallel,like,NEG_R,"0.0200554731
"
62,parallel,like,NEG_P,"0.0233692776
"
62,parallel,twin,POS_A,"0.0460228704
"
62,parallel,like,POS_E,"-0.0380312017
"
65,courtesy,respect,NEG_R,"0.0383866914
"
65,courtesy,respect,NEG_P,"0.0722654139
"
67,station,situation,POS_M,"0.0491258253
"
67,station,situation,POS_A,"0.0522003324
"
69,bank,bank,NEG_A,"0.0300187673
"
69,bank,bank,NEG_P,"0.0449157588
"
69,bank,bank,POS_M,"-0.0135369241
"
69,bank,bank,POS_A,"0.0241017938
"
70,call,reason,NEG_E,"0.0422048136
"
70,call,reason,NEG_M,"0.018334701
"
70,call,reason,NEG_P,"-0.0141103136
"
70,call,reason,POS_M,"0.0584053734
"
70,call,ground,POS_A,"0.0507536759
"
71,express,express,POS_R,"0.0115054734
"
72,refuse,waste,NEG_P,"0.014632981
"
73,miss,miss,POS_R,"0.221599499
"
73,miss,miss,POS_P,"-0.0728599783
"
73,miss,miss,NEG_R,"0.0458961914
"
73,miss,miss,NEG_P,"0.0672103654
"
73,miss,miss,POS_E,"-0.0902887275
"
74,accessory,fellow,POS_M,"0.0173292875
"
77,full,full,POS_P,"0.1211260118
"
77,full,full,POS_M,"-0.0243005593
"
77,full,full,POS_A,"0.0312717615
"
77,full,full,POS_E,"0.0961391254
"
80,failure,failure,NEG_M,"0.062136847
"
80,failure,failure,NEG_P,"0.027394184
"
80,failure,failure,POS_M,"0.0523571607
"
80,failure,failure,POS_A,"0.0690658983
"
82,plane,plane,POS_M,"0.0250697524
"
82,plane,plane,POS_A,"0.0238788663
"
85,reverse,facing,POS_M,"0.0359421666
"
86,title,honor,POS_E,"0.0272005652
"
87,place,place,POS_M,"0.1214164711
"
87,place,place,POS_E,"0.0202383825
"
87,place,standing,POS_E,"0.0547888738
"
89,shaft,well,NEG_E,"-0.0132261723
"
89,shaft,well,POS_R,"-0.0182063585
"
89,shaft,well,POS_P,"-0.1059183461
"
89,shaft,well,NEG_M,"0.027039507
"
89,shaft,well,POS_M,"-0.0199213202
"
89,shaft,well,POS_A,"0.0325599419
"
89,shaft,well,POS_E,"-0.0262209448
"
92,quality,nature,POS_M,"0.0589087001
"
94,blast,blast,POS_R,"0.091851159
"
94,blast,blast,POS_P,"0.0712170506
"
94,blast,blast,POS_A,"0.0721993338
"
95,partner,friend,POS_R,"0.0522869049
"
95,partner,friend,POS_M,"-0.1307469298
"
96,pierce,chill,POS_R,"0.0451005427
"
96,pierce,bite,NEG_R,"0.0621904097
"
97,stall,living,POS_R,"0.0676491845
"
97,stall,see,POS_R,"-0.013487716
"
97,stall,living,POS_P,"0.1183932106
"
97,stall,see,POS_P,"-0.1270254062
"
97,stall,living,POS_M,"0.0776411885
"
